
==========
== CUDA ==
==========

CUDA Version 13.0.2

Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.

This container image and its contents are governed by the NVIDIA Deep Learning Container License.
By pulling and using the container, you accept the terms and conditions of this license:
https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license

A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.

"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","6.92"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes.avg","Mbyte","13.38"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes.max","Mbyte","13.38"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes.min","Mbyte","13.37"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes.sum","Mbyte","214.01"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.avg","Mbyte","4.96"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.max","Mbyte","4.96"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.min","Mbyte","4.96"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.sum","Mbyte","79.37"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.avg","Mbyte","8.41"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.max","Mbyte","8.42"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.min","Mbyte","8.41"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.sum","Mbyte","134.64"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.max_rate","","1"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","97.08"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","lts__t_sector_hit_rate.ratio","","0.97"
"0","96","qw38-llama-opt136-decode-profile","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(2560, 1, 1)","0","12.0","Command line profiler metrics","lts__t_sectors.avg","sector","2689719.27"
